1111,pass1111,1,佐藤　賢一,2120,yuusuke_akashi@iacsol.co.jp
2222,pass2222,1,桑野　修一,2130,yuusuke_akashi@iacsol.co.jp
3333,pass3333,0,齊藤　誠也,2120,yuusuke_akashi@iacsol.co.jp
4444,pass4444,0,明石　佑介,2120,yuusuke_akashi@iacsol.co.jp
1000,00000000,0,経営　企画,1000,yuusuke_akashi@iacsol.co.jp
2000,00000000,0,営業　本部,2000,yuusuke_akashi@iacsol.co.jp
2100,00000000,0,ＩＴ　事業,2100,yuusuke_akashi@iacsol.co.jp
2110,00000000,0,ＩＣＴ　ソリュ,2110,yuusuke_akashi@iacsol.co.jp
2111,00000000,0,ＭＣＳ　ソリュ,2111,yuusuke_akashi@iacsol.co.jp
2112,00000000,0,クラウド　基盤,2112,yuusuke_akashi@iacsol.co.jp
2120,00000000,0,ＩＴ　ソリュ,2120,yuusuke_akashi@iacsol.co.jp
2121,00000000,0,ビジネス　ＡＰ,2121,yuusuke_akashi@iacsol.co.jp
2130,00000000,0,ビジネス　ソリュ,2130,yuusuke_akashi@iacsol.co.jp
2131,00000000,0,ＩＴ　戦略,2131,yuusuke_akashi@iacsol.co.jp
2132,00000000,0,ネット　戦略,2132,yuusuke_akashi@iacsol.co.jp
2133,00000000,0,プロ　戦略,2133,yuusuke_akashi@iacsol.co.jp
2140,00000000,0,マーケ　戦略,2140,yuusuke_akashi@iacsol.co.jp
2150,00000000,0,ＩＴ　営業,2150,yuusuke_akashi@iacsol.co.jp
2151,00000000,0,受託　開発,2151,yuusuke_akashi@iacsol.co.jp
2152,00000000,0,ＳＥＳ　派遣,2152,yuusuke_akashi@iacsol.co.jp
2200,00000000,0,イベント　企画,2200,yuusuke_akashi@iacsol.co.jp
3000,00000000,0,経営　本部,3000,yuusuke_akashi@iacsol.co.jp
3100,00000000,0,経理　部,3100,yuusuke_akashi@iacsol.co.jp
3200,00000000,0,総務　部,3200,yuusuke_akashi@iacsol.co.jp
3300,00000000,0,人事　部,3300,yuusuke_akashi@iacsol.co.jp
3400,00000000,0,購買　部,3400,yuusuke_akashi@iacsol.co.jp
4000,00000000,0,技術　開発,4000,yuusuke_akashi@iacsol.co.jp
4100,00000000,0,技術　チーム,4100,yuusuke_akashi@iacsol.co.jp
4200,00000000,0,人材　チーム,4200,yuusuke_akashi@iacsol.co.jp
5000,00000000,0,情報　セキュ,5000,yuusuke_akashi@iacsol.co.jp
